INFO 2022-08-22 19:11:35,092 trainer.py:177] epoch: 0, batch_id: 18430, auc:0.792849, loss:0.45715696, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.13913 sec, avg_samples: 1024.00000, ips: 7360.11779 ins/s
INFO 2022-08-22 19:11:36,474 trainer.py:177] epoch: 0, batch_id: 18440, auc:0.792851, loss:0.42640668, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13783 sec, avg_samples: 1024.00000, ips: 7429.37036 ins/s
INFO 2022-08-22 19:11:37,808 trainer.py:177] epoch: 0, batch_id: 18450, auc:0.792852, loss:0.49295503, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13284 sec, avg_samples: 1024.00000, ips: 7708.24405 ins/s
INFO 2022-08-22 19:11:39,195 trainer.py:177] epoch: 0, batch_id: 18460, auc:0.792851, loss:0.4529503, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13813 sec, avg_samples: 1024.00000, ips: 7413.26039 ins/s
INFO 2022-08-22 19:11:40,572 trainer.py:177] epoch: 0, batch_id: 18470, auc:0.792855, loss:0.4487544, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13714 sec, avg_samples: 1024.00000, ips: 7467.00203 ins/s
INFO 2022-08-22 19:11:41,929 trainer.py:177] epoch: 0, batch_id: 18480, auc:0.792855, loss:0.42456254, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13514 sec, avg_samples: 1024.00000, ips: 7577.56040 ins/s
INFO 2022-08-22 19:11:43,328 trainer.py:177] epoch: 0, batch_id: 18490, auc:0.792856, loss:0.47124907, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13903 sec, avg_samples: 1024.00000, ips: 7365.29644 ins/s
INFO 2022-08-22 19:11:44,700 trainer.py:177] epoch: 0, batch_id: 18500, auc:0.792859, loss:0.4611246, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.13684 sec, avg_samples: 1024.00000, ips: 7483.34798 ins/s
INFO 2022-08-22 19:11:46,069 trainer.py:177] epoch: 0, batch_id: 18510, auc:0.792860, loss:0.45082608, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13634 sec, avg_samples: 1024.00000, ips: 7510.89139 ins/s
INFO 2022-08-22 19:11:47,422 trainer.py:177] epoch: 0, batch_id: 18520, auc:0.792865, loss:0.42201564, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13444 sec, avg_samples: 1024.00000, ips: 7616.76356 ins/s
INFO 2022-08-22 19:11:48,791 trainer.py:177] epoch: 0, batch_id: 18530, auc:0.792867, loss:0.45440853, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.13653 sec, avg_samples: 1024.00000, ips: 7499.91888 ins/s
INFO 2022-08-22 19:11:50,209 trainer.py:177] epoch: 0, batch_id: 18540, auc:0.792865, loss:0.4690809, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14123 sec, avg_samples: 1024.00000, ips: 7250.80514 ins/s
INFO 2022-08-22 19:11:51,650 trainer.py:177] epoch: 0, batch_id: 18550, auc:0.792866, loss:0.44028986, avg_reader_cost: 0.00000 sec, avg_batch_cost: 0.14332 sec, avg_samples: 1024.00000, ips: 7145.04739 ins/s
INFO 2022-08-22 19:11:53,125 trainer.py:177] epoch: 0, batch_id: 18560, auc:0.792873, loss:0.43416718, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.14681 sec, avg_samples: 1024.00000, ips: 6975.10898 ins/s
